#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1902.50    0.192468    0.017216    0.126473    0.018427  -0.0001157   0.0000000   -0.099322    0.000000   -0.017171    0.000000
   1902.55    0.205532    0.018393    0.077280    0.018479  -0.0000836   0.0000000   -0.098108    0.000000   -0.017290    0.000000
   1902.60    0.199901    0.019685    0.028333    0.019205   0.0002625   0.0000000   -0.097021    0.000000   -0.017329    0.000000
   1902.65    0.171465    0.019642   -0.005918    0.016473  -0.0000071   0.0000000   -0.096382    0.000000   -0.017350    0.000000
   1902.70    0.157301    0.018014   -0.046204    0.019229  -0.0000394   0.0000000   -0.096163    0.000000   -0.017428    0.000000
   1902.75    0.085584    0.020995   -0.091053    0.022628   0.0001078   0.0000000   -0.096473    0.000000   -0.017742    0.000000
   1902.80    0.034263    0.018244   -0.108952    0.016398   0.0000462   0.0000000   -0.097056    0.000000   -0.018451    0.000000
   1902.85   -0.023220    0.019349   -0.094514    0.020121  -0.0001804   0.0000000   -0.097894    0.000000   -0.019202    0.000000
   1902.90   -0.068765    0.023283   -0.091371    0.020617   0.0002388   0.0000000   -0.098356    0.000000   -0.020014    0.000000
   1902.95   -0.132449    0.023710   -0.035291    0.023617  -0.0000672   0.0000000   -0.098629    0.000000   -0.020722    0.000000
   1903.00   -0.185196    0.023738    0.006097    0.023274  -0.0001212   0.0000000   -0.098793    0.000000   -0.020891    0.000000
   1903.05   -0.222648    0.024848    0.044185    0.022841   0.0003004   0.0000000   -0.098708    0.000000   -0.020763    0.000000
   1903.10   -0.234196    0.019914    0.065846    0.021459  -0.0001953   0.0000000   -0.098643    0.000000   -0.020037    0.000000
   1903.15   -0.212118    0.022848    0.129988    0.023476  -0.0000445   0.0000000   -0.098756    0.000000   -0.019167    0.000000
   1903.20   -0.175202    0.023818    0.192065    0.022816   0.0001415   0.0000000   -0.098932    0.000000   -0.018168    0.000000
   1903.25   -0.171278    0.020151    0.183860    0.020687  -0.0000868   0.0000000   -0.099313    0.000000   -0.017245    0.000000
   1903.30   -0.138029    0.021343    0.226370    0.018848  -0.0000461   0.0000000   -0.099457    0.000000   -0.016675    0.000000
   1903.35   -0.049063    0.019377    0.282006    0.017309   0.0001614   0.0000000   -0.099412    0.000000   -0.016391    0.000000
   1903.40    0.001277    0.019149    0.249488    0.021020  -0.0000592   0.0000000   -0.098932    0.000000   -0.016557    0.000000
   1903.45    0.052781    0.018423    0.270714    0.019675  -0.0001241   0.0000000   -0.098085    0.000000   -0.016681    0.000000
   1903.50    0.081286    0.016138    0.254403    0.017307   0.0002624   0.0000000   -0.096918    0.000000   -0.016981    0.000000
   1903.55    0.148590    0.017926    0.236599    0.018798  -0.0001976   0.0000000   -0.095552    0.000000   -0.017040    0.000000
   1903.60    0.183182    0.015992    0.188976    0.018213  -0.0000887   0.0000000   -0.094633    0.000000   -0.017080    0.000000
   1903.65    0.219370    0.015085    0.104038    0.017660   0.0002347   0.0000000   -0.093882    0.000000   -0.017147    0.000000
   1903.70    0.213298    0.020303    0.081517    0.021653  -0.0001618   0.0000000   -0.093700    0.000000   -0.017248    0.000000
   1903.75    0.185022    0.018179   -0.008916    0.021916   0.0000182   0.0000000   -0.093992    0.000000   -0.017615    0.000000
   1903.80    0.148792    0.021925   -0.061865    0.017121   0.0002004   0.0000000   -0.094622    0.000000   -0.018414    0.000000
   1903.85    0.127496    0.024642   -0.108036    0.022890  -0.0001097   0.0000000   -0.095321    0.000000   -0.019216    0.000000
   1903.90    0.089314    0.027678   -0.098436    0.021120  -0.0001497   0.0000000   -0.095988    0.000000   -0.020182    0.000000
   1903.95    0.011750    0.029398   -0.093780    0.023481   0.0001185   0.0000000   -0.096174    0.000000   -0.020746    0.000000
   1904.00   -0.076518    0.029471   -0.075290    0.026064  -0.0001440   0.0000000   -0.096349    0.000000   -0.021177    0.000000
   1904.05   -0.134511    0.026091   -0.079091    0.023424  -0.0000595   0.0000000   -0.096232    0.000000   -0.020866    0.000000
   1904.10   -0.172255    0.024177   -0.026533    0.021364   0.0002804   0.0000000   -0.096227    0.000000   -0.020403    0.000000
   1904.15   -0.193128    0.031542    0.021542    0.032858  -0.0002415   0.0000000   -0.096217    0.000000   -0.019351    0.000000
   1904.20   -0.219845    0.022225    0.005840    0.028877   0.0000717   0.0000000   -0.096475    0.000000   -0.018491    0.000000
   1904.25   -0.202018    0.023388    0.077035    0.021588   0.0002168   0.0000000   -0.096785    0.000000   -0.017647    0.000000
   1904.30   -0.184647    0.032004    0.127920    0.024824  -0.0002491   0.0000000   -0.096914    0.000000   -0.016963    0.000000
   1904.35   -0.159049    0.019039    0.153493    0.021051   0.0000536   0.0000000   -0.096838    0.000000   -0.016812    0.000000
   1904.40   -0.120123    0.022940    0.233716    0.021688   0.0001526   0.0000000   -0.096424    0.000000   -0.017012    0.000000
   1904.45   -0.057894    0.016996    0.243988    0.017524  -0.0001170   0.0000000   -0.095501    0.000000   -0.017203    0.000000
   1904.50    0.000642    0.015364    0.249470    0.016865   0.0000010   0.0000000   -0.094286    0.000000   -0.017435    0.000000
   1904.55    0.064129    0.017529    0.250041    0.019406   0.0002496   0.0000000   -0.093029    0.000000   -0.017483    0.000000
   1904.60    0.100751    0.013994    0.206088    0.016493  -0.0001894   0.0000000   -0.091992    0.000000   -0.017503    0.000000
   1904.65    0.123791    0.014814    0.177197    0.014584  -0.0000236   0.0000000   -0.091347    0.000000   -0.017467    0.000000
   1904.70    0.156438    0.016340    0.139185    0.016713   0.0001622   0.0000000   -0.091264    0.000000   -0.017634    0.000000
   1904.75    0.167462    0.020982    0.118594    0.021583  -0.0003359   0.0000000   -0.091462    0.000000   -0.018125    0.000000
   1904.80    0.155253    0.019601    0.071089    0.018011   0.0000999   0.0000000   -0.092125    0.000000   -0.018753    0.000000
   1904.85    0.148956    0.021607    0.033441    0.018516   0.0001077   0.0000000   -0.092789    0.000000   -0.019858    0.000000
   1904.90    0.107747    0.028150    0.024405    0.025407  -0.0001198   0.0000000   -0.093399    0.000000   -0.020673    0.000000
   1904.95    0.118745    0.026884   -0.006861    0.026258   0.0000995   0.0000000   -0.093648    0.000000   -0.021375    0.000000
   1905.00    0.064345    0.022411   -0.053595    0.025719   0.0001398   0.0000000   -0.093785    0.000000   -0.021664    0.000000
   1905.05    0.009202    0.024031   -0.103043    0.026642  -0.0001694   0.0000000   -0.093755    0.000000   -0.021471    0.000000
   1905.10   -0.031118    0.026427   -0.117580    0.022501  -0.0000626   0.0000000   -0.093721    0.000000   -0.020922    0.000000
   1905.15   -0.080010    0.027292   -0.055203    0.023468   0.0002136   0.0000000   -0.093751    0.000000   -0.019967    0.000000
   1905.20   -0.170890    0.023004   -0.070790    0.022130  -0.0003506   0.0000000   -0.094192    0.000000   -0.018991    0.000000
   1905.25   -0.180573    0.018233   -0.062148    0.018208   0.0000963   0.0000000   -0.094315    0.000000   -0.018183    0.000000
   1905.30   -0.171561    0.023238   -0.023512    0.023535   0.0001706   0.0000000   -0.094565    0.000000   -0.017555    0.000000
   1905.35   -0.196050    0.019236    0.044328    0.019688  -0.0001905   0.0000000   -0.094435    0.000000   -0.017348    0.000000
   1905.40   -0.159967    0.019622    0.077338    0.020544   0.0001856   0.0000000   -0.093902    0.000000   -0.017362    0.000000
   1905.45   -0.152902    0.020041    0.123625    0.021427   0.0000261   0.0000000   -0.093130    0.000000   -0.017807    0.000000
   1905.50   -0.110405    0.018162    0.156587    0.021273  -0.0001242   0.0000000   -0.091980    0.000000   -0.017876    0.000000
   1905.55   -0.056574    0.017768    0.176948    0.018960   0.0000797   0.0000000   -0.090785    0.000000   -0.017883    0.000000
   1905.60   -0.004122    0.018405    0.204685    0.019332   0.0001420   0.0000000   -0.089836    0.000000   -0.017886    0.000000
   1905.65    0.038195    0.017990    0.194052    0.018137  -0.0001005   0.0000000   -0.089291    0.000000   -0.017849    0.000000
   1905.70    0.075170    0.017606    0.177130    0.018668   0.0001269   0.0000000   -0.089123    0.000000   -0.018035    0.000000
   1905.75    0.089667    0.022709    0.174403    0.017064   0.0001575   0.0000000   -0.089424    0.000000   -0.018439    0.000000
   1905.80    0.108798    0.025742    0.144252    0.025081  -0.0003125   0.0000000   -0.090196    0.000000   -0.019286    0.000000
   1905.85    0.149495    0.023279    0.120607    0.020272   0.0002170   0.0000000   -0.090806    0.000000   -0.020172    0.000000
   1905.90    0.142754    0.024965    0.083174    0.020218  -0.0000420   0.0000000   -0.091468    0.000000   -0.021143    0.000000
   1905.95    0.133363    0.024033    0.061658    0.025303  -0.0001596   0.0000000   -0.091790    0.000000   -0.021919    0.000000
   1906.00    0.098724    0.023875    0.013522    0.019691   0.0001918   0.0000000   -0.091779    0.000000   -0.022180    0.000000
   1906.05    0.029970    0.021655   -0.031359    0.020351   0.0000131   0.0000000   -0.091829    0.000000   -0.022216    0.000000
   1906.10   -0.022510    0.024585   -0.051189    0.015707  -0.0000925   0.0000000   -0.091804    0.000000   -0.021465    0.000000
   1906.15   -0.048558    0.018036   -0.033048    0.019091   0.0000880   0.0000000   -0.091930    0.000000   -0.020466    0.000000
   1906.20   -0.083761    0.021684   -0.021489    0.021075   0.0000097   0.0000000   -0.092241    0.000000   -0.019477    0.000000
   1906.25   -0.100174    0.021435   -0.019625    0.019113  -0.0001607   0.0000000   -0.092638    0.000000   -0.018808    0.000000
   1906.30   -0.116472    0.016746   -0.026479    0.016039   0.0002208   0.0000000   -0.092667    0.000000   -0.018281    0.000000
   1906.35   -0.135263    0.020519    0.005505    0.017999  -0.0000146   0.0000000   -0.092482    0.000000   -0.017989    0.000000
   1906.40   -0.152430    0.015683    0.033496    0.016190  -0.0001890   0.0000000   -0.092146    0.000000   -0.018184    0.000000
   1906.45   -0.141173    0.014322    0.081083    0.015548   0.0002680   0.0000000   -0.091166    0.000000   -0.018478    0.000000
   1906.50   -0.120133    0.017458    0.105369    0.016692  -0.0001099   0.0000000   -0.090165    0.000000   -0.018539    0.000000
   1906.55   -0.106461    0.014684    0.115372    0.015376  -0.0000791   0.0000000   -0.089003    0.000000   -0.018715    0.000000
   1906.60   -0.096305    0.013219    0.130505    0.016957   0.0001528   0.0000000   -0.088098    0.000000   -0.018549    0.000000
   1906.65   -0.057911    0.014701    0.114895    0.015207   0.0000155   0.0000000   -0.087505    0.000000   -0.018726    0.000000
   1906.70   -0.034625    0.015440    0.135188    0.014288  -0.0001500   0.0000000   -0.087500    0.000000   -0.018937    0.000000
   1906.75   -0.030697    0.017752    0.140320    0.019023   0.0001310   0.0000000   -0.087813    0.000000   -0.019386    0.000000
   1906.80   -0.026659    0.017635    0.123416    0.016311  -0.0000578   0.0000000   -0.088504    0.000000   -0.020195    0.000000
   1906.85    0.029115    0.025969    0.189413    0.019887  -0.0002919   0.0000000   -0.089314    0.000000   -0.021091    0.000000
   1906.90   -0.000092    0.019458    0.169093    0.016952   0.0002756   0.0000000   -0.089843    0.000000   -0.022075    0.000000
   1906.95    0.007526    0.021170    0.178278    0.022818   0.0000397   0.0000000   -0.090186    0.000000   -0.022655    0.000000
   1907.00    0.028777    0.026183    0.195497    0.021831  -0.0001412   0.0000000   -0.090518    0.000000   -0.023048    0.000000
   1907.05    0.030695    0.023334    0.122700    0.025638   0.0002672   0.0000000   -0.090453    0.000000   -0.023023    0.000000
